,Group,Category,N,%,N total
0,in,Increasing,12,46.2,26
1,in,Stable,10,38.5,26
2,in,Decreasing,4,15.4,26
3,post,Increasing,17,50.0,34
4,post,Stable,8,23.5,34
5,post,Decreasing,9,26.5,34
6,pre,Increasing,7,43.8,16
7,pre,Stable,4,25.0,16
8,pre,Decreasing,5,31.2,16
