,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,33,0.13851,0.083344,0.136139,0.0,0.044236,0.210301,0.585707,1.413801
post,43,0.11869,0.07844,0.124856,0.0,0.032857,0.140626,0.500632,1.473306
pre,26,0.185266,0.134383,0.178704,0.0,0.050982,0.288593,0.682008,1.142108
