Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.3871,0.3012,-0.0,0.1175,12.5,50.0,37.5,0.1147,0.0227,56.0466
post,0.2866,0.2945,-0.0,0.0131,7.7,61.5,30.8,0.0212,0.0098,111.9335
pre,0.355,0.3304,-0.0,0.0366,0.0,100.0,0.0,0.1031,0.0129,185.8248
