,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,8,0.453827,0.38714,0.215973,0.267412,0.272438,0.569639,0.813709,0.625903
post,13,0.384354,0.286624,0.192781,0.251449,0.276339,0.380574,0.893101,1.776808
pre,4,0.334702,0.354983,0.068703,0.239402,0.307268,0.382418,0.389441,-0.721893
