,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.345823,0.345823,,0.345823,0.345823,0.345823,0.345823,
post,1,0.006258,0.006258,,0.006258,0.006258,0.006258,0.006258,
pre,1,0.29384,0.29384,,0.29384,0.29384,0.29384,0.29384,
