Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.6957,0.7198,4e-06,0.4046,56.7,14.9,28.4,0.5561,0.0246,16.8655
post,0.675,0.7058,1e-06,0.3159,48.8,16.8,34.4,0.5268,0.0244,18.6816
pre,0.7205,0.7715,0.0,0.3764,45.5,21.4,33.1,0.4594,0.0251,16.7429
