,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,25,0.670783,0.738022,0.170709,0.305949,0.540449,0.806738,0.894779,-0.612758
post,29,0.673715,0.729256,0.18449,0.305547,0.528327,0.841025,0.898214,-0.459852
pre,17,0.690461,0.751971,0.194443,0.308548,0.50674,0.857999,0.914598,-0.628229
