,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,25,1.8e-05,4e-06,4.8e-05,-4.9e-05,-4e-06,1.2e-05,0.000183,1.9772
post,29,2.8e-05,1.1e-05,5.1e-05,-1.4e-05,2e-06,2.8e-05,0.000221,2.470989
pre,17,-2e-06,-0.0,9e-06,-2.6e-05,-5e-06,4e-06,9e-06,-1.250864
