Group,N,P10,P25,P50,P75,P90,P95,P99
in,1748,0.1245,0.2803,0.556,1.013,2.3975,5.3508,31.7882
post,2085,0.1101,0.2543,0.5504,1.0885,2.4456,5.6628,29.1063
pre,1283,0.1273,0.2663,0.5506,0.9594,2.0067,4.1145,21.4363
