,Group,Category,N,%,N total
0,in,Increasing,9,100.0,9
1,in,Stable,0,0.0,9
2,in,Decreasing,0,0.0,9
3,post,Increasing,9,81.8,11
4,post,Stable,1,9.1,11
5,post,Decreasing,1,9.1,11
6,pre,Increasing,1,14.3,7
7,pre,Stable,0,0.0,7
8,pre,Decreasing,6,85.7,7
