Group,N,P10,P25,P50,P75,P90,P95,P99
in,5,0.4175,0.4605,0.7374,0.7382,0.7464,0.7492,0.7514
post,7,0.4327,0.442,0.4671,0.6181,1.1634,1.4646,1.7055
pre,4,0.4845,0.5497,0.6728,0.7882,0.8395,0.8566,0.8703
