,Group,Category,N,%,N total
0,in,Increasing,20,60.6,33
1,in,Stable,4,12.1,33
2,in,Decreasing,9,27.3,33
3,post,Increasing,21,48.8,43
4,post,Stable,9,20.9,43
5,post,Decreasing,13,30.2,43
6,pre,Increasing,14,53.8,26
7,pre,Stable,8,30.8,26
8,pre,Decreasing,4,15.4,26
