Group,N,P10,P25,P50,P75,P90,P95,P99
in,13,0.3796,0.6599,0.8373,1.0226,1.2707,1.3621,1.43
post,17,0.4033,0.5354,0.7174,1.1793,2.0435,2.3317,2.8959
pre,10,0.3255,0.5812,0.7228,1.0814,1.3097,1.4443,1.5519
