,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,6,1.1e-05,2e-06,2.4e-05,-3e-06,-2e-06,9e-06,6e-05,1.610858
post,7,3.2e-05,2e-06,7.8e-05,-7e-06,1e-06,8e-06,0.000208,2.018409
pre,5,-2e-06,1e-06,8e-06,-1.6e-05,-0.0,1e-06,3e-06,-1.429568
