Group,N,P10,P25,P50,P75,P90,P95,P99
in,4,0.5256,0.5931,0.6516,0.835,1.1272,1.2246,1.3025
post,5,0.4252,0.4311,0.6212,0.839,1.1309,1.2282,1.3061
pre,3,0.4882,0.5701,0.7066,1.0288,1.2221,1.2865,1.3381
