,Group,Threshold ratio,N above,% above,N total
0,in,0.01,84,91.3,92
1,in,0.05,0,0.0,92
2,in,0.1,0,0.0,92
3,in,0.2,0,0.0,92
4,post,0.01,91,95.8,95
5,post,0.05,0,0.0,95
6,post,0.1,0,0.0,95
7,post,0.2,0,0.0,95
8,pre,0.01,69,94.5,73
9,pre,0.05,0,0.0,73
10,pre,0.1,0,0.0,73
11,pre,0.2,0,0.0,73
