,Group,Threshold ratio,N above,% above,N total
0,in,0.01,45,86.5,52
1,in,0.05,0,0.0,52
2,in,0.1,0,0.0,52
3,in,0.2,0,0.0,52
4,post,0.01,53,88.3,60
5,post,0.05,0,0.0,60
6,post,0.1,0,0.0,60
7,post,0.2,0,0.0,60
8,pre,0.01,40,95.2,42
9,pre,0.05,0,0.0,42
10,pre,0.1,0,0.0,42
11,pre,0.2,0,0.0,42
