Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.5599,0.5956,0.6551,1.2043,1.5337,1.6436,1.7314
post,4,0.4897,0.5924,0.6974,0.8081,0.9209,0.9586,0.9887
