,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.02487,0.024556,0.024465,0.000564,0.01256,0.037023,0.04949,0.023589
post,5,0.026528,0.017794,0.024497,0.000388,0.014296,0.036267,0.063895,0.622521
pre,3,0.026066,0.038147,0.022058,0.000606,0.019377,0.038796,0.039444,-0.704359
