,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,12,0.05049,0.026985,0.059875,6e-05,0.008851,0.072043,0.200763,1.42801
post,17,0.135098,0.032377,0.405194,1.2e-05,0.00447,0.063261,1.701484,3.702114
pre,8,0.043613,0.043736,0.044445,5.1e-05,0.017087,0.047232,0.141956,1.36553
