,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,16,0.052996,0.033492,0.062059,0.0,0.008934,0.06783,0.176068,1.162163
post,16,0.07145,0.043288,0.081047,0.0,0.011491,0.086793,0.265402,1.234781
pre,16,0.049979,0.027337,0.054147,0.0,0.012959,0.068076,0.160421,1.059774
