,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,18,0.538997,0.560651,0.161816,0.272378,0.491224,0.636646,0.832323,-0.259796
post,20,0.556977,0.617377,0.191325,0.267784,0.398334,0.716734,0.876707,-0.220162
pre,14,0.536226,0.536032,0.209029,0.289494,0.331007,0.631763,0.952547,0.500845
