,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,47,214.202452,29.1205,968.204187,8.916077,19.275332,55.51904,6668.356081,6.504414
post,57,221.839206,20.291141,777.337148,4.635282,13.840997,49.239618,5400.131818,5.550439
pre,38,53.258339,17.467337,145.734317,4.781913,10.915347,35.830685,893.808131,5.292791
