Group,N,P10,P25,P50,P75,P90,P95,P99
in,4,0.499,0.5843,0.6714,1.2987,2.3566,2.7092,2.9913
post,4,0.4337,0.5043,0.6134,1.2502,2.2707,2.6109,2.883
pre,3,0.4855,0.5172,0.57,0.6271,0.6613,0.6727,0.6819
