Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.7935,0.7935,0.7935,0.7935,0.7935,0.7935,0.7935
post,1,0.7044,0.7044,0.7044,0.7044,0.7044,0.7044,0.7044
pre,1,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025
