,Group,Category,N,%,N total
0,in,Increasing,38,74.5,51
1,in,Stable,5,9.8,51
2,in,Decreasing,8,15.7,51
3,post,Increasing,41,70.7,58
4,post,Stable,6,10.3,58
5,post,Decreasing,11,19.0,58
6,pre,Increasing,17,50.0,34
7,pre,Stable,8,23.5,34
8,pre,Decreasing,9,26.5,34
