Group,N,P10,P25,P50,P75,P90,P95,P99
in,4,0.329,0.3928,0.6267,0.848,0.8891,0.9028,0.9138
post,5,0.3618,0.4808,0.5429,0.7185,0.8876,0.9439,0.989
pre,3,0.3009,0.3456,0.42,0.72,0.9001,0.9601,1.0081
