,Group,Category,N,%,N total
0,in,Increasing,4,80.0,5
1,in,Stable,0,0.0,5
2,in,Decreasing,1,20.0,5
3,post,Increasing,8,80.0,10
4,post,Stable,0,0.0,10
5,post,Decreasing,2,20.0,10
6,pre,Increasing,1,50.0,2
7,pre,Stable,1,50.0,2
8,pre,Decreasing,0,0.0,2
