Group,N,P10,P25,P50,P75,P90,P95,P99
in,7,0.3789,0.4307,0.674,0.8988,1.8558,2.5226,3.0561
post,7,0.4037,0.6664,0.6887,0.9015,1.1139,1.121,1.1267
pre,6,0.4265,0.4493,0.6184,0.7949,0.8166,0.8221,0.8265
