Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.8617,0.8617,0.8617,0.8617,0.8617,0.8617,0.8617
post,2,0.2841,0.3481,0.4549,0.5617,0.6258,0.6471,0.6642
