,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,50,28.232047,17.717831,32.442351,4.786373,11.625237,29.694682,163.884628,3.118093
post,51,170.34745,18.295661,761.111196,4.26671,10.720511,38.691766,5411.336838,6.600967
pre,36,120.407152,17.178304,579.650122,5.516456,12.147234,28.381627,3499.655317,5.736107
