Group,N,P10,P25,P50,P75,P90,P95,P99
in,39,0.2627,0.4662,0.6562,1.3599,4.8451,22.4623,48.5473
post,48,0.2458,0.4733,0.7515,1.6309,10.4253,24.3287,65.0928
pre,27,0.2172,0.3705,0.5745,1.5093,4.4197,17.7984,46.7163
