,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,6,0.081501,0.078296,0.076354,7.2e-05,0.017919,0.144893,0.167459,0.028119
post,5,0.074117,0.057451,0.072355,8e-06,0.015161,0.133405,0.164561,0.244736
pre,5,0.07417,0.043411,0.076006,4.2e-05,0.022427,0.123139,0.181831,0.503133
