,Group,Category,N,%,N total
0,in,Increasing,1,25.0,4
1,in,Stable,2,50.0,4
2,in,Decreasing,1,25.0,4
3,post,Increasing,1,25.0,4
4,post,Stable,2,50.0,4
5,post,Decreasing,1,25.0,4
6,pre,Increasing,1,33.3,3
7,pre,Stable,1,33.3,3
8,pre,Decreasing,1,33.3,3
