Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.5747,0.7438,1.0256,1.5423,1.8522,1.9556,2.0382
post,3,0.5467,0.6122,0.7213,1.3908,1.7925,1.9264,2.0335
pre,2,0.4767,0.7288,1.1489,1.569,1.821,1.9051,1.9723
