,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.395277,0.252503,0.26624,0.230877,0.24169,0.477477,0.702451,0.701862
post,3,0.312065,0.211189,0.193341,0.190024,0.200607,0.373085,0.534981,0.697586
pre,1,0.165142,0.165142,,0.165142,0.165142,0.165142,0.165142,
