Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.6114,0.738,4e-06,0.43,60.0,12.0,28.0,0.5347,0.0245,16.3988
post,0.6569,0.7293,1.1e-05,0.3755,82.8,3.4,13.8,0.5054,0.0249,14.2974
pre,0.6255,0.752,-0.0,0.4852,47.1,11.8,41.2,0.4287,0.0233,15.0283
