Group,N,P10,P25,P50,P75,P90,P95,P99
in,17,0.1619,0.2119,0.4187,0.996,1.9062,8.5308,27.4598
post,18,0.1978,0.3349,0.5661,0.9643,1.9788,4.5862,15.7441
pre,12,0.265,0.3827,0.5351,0.9613,1.2613,1.4881,1.6919
