Group,N,P10,P25,P50,P75,P90,P95,P99
in,5,0.0998,0.1425,0.2667,0.4091,0.6213,0.692,0.7486
post,9,0.1211,0.2695,0.6869,1.2701,1.8692,2.5349,3.0674
pre,1,0.2681,0.2681,0.2681,0.2681,0.2681,0.2681,0.2681
