,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,47,0.352486,0.091953,0.716186,7e-06,0.037649,0.414258,4.517279,4.50081
post,57,0.309815,0.080545,0.864049,0.000122,0.03697,0.299278,6.246507,5.979726
pre,38,0.27469,0.159075,0.326799,0.00019,0.070715,0.308207,1.314124,1.906969
