Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.1244,0.1646,0.2315,0.3469,0.416,0.4391,0.4575
post,1,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689,0.2689
pre,1,0.3281,0.3281,0.3281,0.3281,0.3281,0.3281,0.3281
