,Group,Category,N,%,N total
0,in,Increasing,1,33.3,3
1,in,Stable,2,66.7,3
2,in,Decreasing,0,0.0,3
3,post,Increasing,2,66.7,3
4,post,Stable,1,33.3,3
5,post,Decreasing,0,0.0,3
6,pre,Increasing,0,0.0,2
7,pre,Stable,0,0.0,2
8,pre,Decreasing,2,100.0,2
