Group,N,P10,P25,P50,P75,P90,P95,P99
in,16,0.3092,0.3678,0.4946,0.7326,0.9241,1.0028,1.1189
post,22,0.3074,0.3752,0.5,0.7415,0.8829,1.2989,1.6332
pre,11,0.3484,0.4097,0.495,0.7303,0.8031,0.865,0.9145
