,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.321956,0.325594,0.187808,0.132355,0.228974,0.416756,0.507919,-0.03557
post,3,0.312017,0.425896,0.22396,0.054002,0.239949,0.441025,0.456155,-0.692613
pre,2,0.378447,0.378447,0.298599,0.167306,0.272876,0.484018,0.589588,0.0
