,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.347754,0.347754,,0.347754,0.347754,0.347754,0.347754,
post,2,0.320987,0.320987,0.017727,0.308452,0.31472,0.327255,0.333522,0.0
pre,1,0.412237,0.412237,,0.412237,0.412237,0.412237,0.412237,
