,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.248908,0.205712,0.15174,0.12345,0.164581,0.311637,0.417562,0.480596
post,1,0.433838,0.433838,,0.433838,0.433838,0.433838,0.433838,
pre,1,0.424351,0.424351,,0.424351,0.424351,0.424351,0.424351,
