,Group,Category,N,%,N total
0,in,Increasing,1027,57.9,1775
1,in,Stable,337,19.0,1775
2,in,Decreasing,411,23.2,1775
3,post,Increasing,1191,56.3,2115
4,post,Stable,403,19.1,2115
5,post,Decreasing,521,24.6,2115
6,pre,Increasing,544,42.0,1295
7,pre,Stable,351,27.1,1295
8,pre,Decreasing,400,30.9,1295
