Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.7017,0.795,6e-06,0.3361,58.8,11.8,29.4,0.4187,0.0241,15.949
post,0.6974,0.7682,1.3e-05,0.507,77.8,16.7,5.6,0.5661,0.0252,21.9504
pre,0.6395,0.6729,2e-06,0.63,66.7,16.7,16.7,0.5351,0.0253,13.2755
