,Group,Threshold ratio,N above,% above,N total
0,in,0.01,11,91.7,12
1,in,0.05,0,0.0,12
2,in,0.1,0,0.0,12
3,in,0.2,0,0.0,12
4,post,0.01,16,94.1,17
5,post,0.05,0,0.0,17
6,post,0.1,0,0.0,17
7,post,0.2,0,0.0,17
8,pre,0.01,8,100.0,8
9,pre,0.05,0,0.0,8
10,pre,0.1,0,0.0,8
11,pre,0.2,0,0.0,8
