,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,52,0.550351,0.601258,0.165696,0.183154,0.447679,0.660765,0.981561,-0.269422
post,60,0.543957,0.562594,0.160036,0.151979,0.441615,0.665547,0.789449,-0.547047
pre,42,0.555633,0.576757,0.16969,0.225215,0.423036,0.674047,0.97892,-0.110404
