,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.648291,0.617861,0.153231,0.512559,0.56521,0.716158,0.814455,0.350446
post,1,0.829442,0.829442,,0.829442,0.829442,0.829442,0.829442,
pre,1,0.869547,0.869547,,0.869547,0.869547,0.869547,0.869547,
