,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,25,-1.3e-05,0.0,4.7e-05,-0.000229,-3e-06,0.0,1.8e-05,-4.186041
post,32,-3e-06,0.0,3e-05,-0.000106,-6e-06,1e-06,6.9e-05,-0.833942
pre,20,0.0,0.0,5e-06,-1.5e-05,-0.0,2e-06,1.2e-05,-0.744671
