Group,N,P10,P25,P50,P75,P90,P95,P99
in,90,0.3049,0.409,0.5436,0.8043,1.227,1.8445,4.6391
post,93,0.252,0.3974,0.5227,0.9057,1.2821,1.8251,3.8213
pre,72,0.3035,0.3913,0.4772,0.7672,1.0462,1.36,2.6234
