,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.026681,0.026681,,0.026681,0.026681,0.026681,0.026681,
post,1,0.002702,0.002702,,0.002702,0.002702,0.002702,0.002702,
pre,1,0.014615,0.014615,,0.014615,0.014615,0.014615,0.014615,
