Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.5093,0.4967,1e-06,0.2321,0,100.0,0.0,0.7306,0.0206,16.2615
post,0.4508,0.452,-1e-06,0.2995,0,0.0,100.0,0.855,0.0185,52.3425
pre,0.5679,0.5876,-2e-06,0.273,0,0.0,100.0,0.7743,0.0233,17.5165
