Group,N,P10,P25,P50,P75,P90,P95,P99
in,47,0.3808,0.4998,0.757,1.4165,2.9458,8.8904,52.8753
post,57,0.3722,0.5528,0.7655,1.304,2.7478,11.1427,50.2205
pre,38,0.448,0.527,0.6742,1.3636,1.9179,5.0342,12.2271
