,Group,Threshold ratio,N above,% above,N total
0,in,0.01,0,0.0,1
1,in,0.05,0,0.0,1
2,in,0.1,0,0.0,1
3,in,0.2,0,0.0,1
4,pre,0.01,1,100.0,1
5,pre,0.05,0,0.0,1
6,pre,0.1,0,0.0,1
7,pre,0.2,0,0.0,1
