,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,3e-06,3e-06,,3e-06,3e-06,3e-06,3e-06,
post,2,-9.1e-05,-9.1e-05,0.000159,-0.000204,-0.000148,-3.5e-05,2.2e-05,0.0
pre,1,4.3e-05,4.3e-05,,4.3e-05,4.3e-05,4.3e-05,4.3e-05,
