,Group,Threshold ratio,N above,% above,N total
0,in,0.01,7,100.0,7
1,in,0.05,0,0.0,7
2,in,0.1,0,0.0,7
3,in,0.2,0,0.0,7
4,post,0.01,7,100.0,7
5,post,0.05,0,0.0,7
6,post,0.1,0,0.0,7
7,post,0.2,0,0.0,7
8,pre,0.01,6,100.0,6
9,pre,0.05,0,0.0,6
10,pre,0.1,0,0.0,6
11,pre,0.2,0,0.0,6
