,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.825892,0.825892,,0.825892,0.825892,0.825892,0.825892,
post,1,0.763129,0.763129,,0.763129,0.763129,0.763129,0.763129,
