Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.4805,0.5305,0.0,0.3719,44.4,33.3,22.2,0.7602,0.0258,16.6601
post,0.4394,0.4173,6e-06,0.4517,54.5,27.3,18.2,0.9287,0.0225,21.7938
pre,0.4694,0.5541,-1e-06,0.3967,25.0,50.0,25.0,0.8999,0.0242,17.1458
