,Group,Category,N,%,N total
0,in,Increasing,11,68.8,16
1,in,Stable,1,6.2,16
2,in,Decreasing,4,25.0,16
3,post,Increasing,20,90.9,22
4,post,Stable,0,0.0,22
5,post,Decreasing,2,9.1,22
6,pre,Increasing,6,54.5,11
7,pre,Stable,2,18.2,11
8,pre,Decreasing,3,27.3,11
