,Group,Category,N,%,N total
0,in,Increasing,19,40.4,47
1,in,Stable,6,12.8,47
2,in,Decreasing,22,46.8,47
3,post,Increasing,31,54.4,57
4,post,Stable,10,17.5,57
5,post,Decreasing,16,28.1,57
6,pre,Increasing,15,39.5,38
7,pre,Stable,6,15.8,38
8,pre,Decreasing,17,44.7,38
