,Group,Category,N,%,N total
0,in,Increasing,9,50.0,18
1,in,Stable,4,22.2,18
2,in,Decreasing,5,27.8,18
3,post,Increasing,6,37.5,16
4,post,Stable,4,25.0,16
5,post,Decreasing,6,37.5,16
6,pre,Increasing,5,55.6,9
7,pre,Stable,2,22.2,9
8,pre,Decreasing,2,22.2,9
